question_id,question,ground_truth,contexts,evolution_type
1,How does RAGAS faithfulness evaluate an answer?,A correct answer should explain faithfulness in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses faithfulness as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
2,What does answer relevancy measure in RAGAS?,A correct answer should explain answer relevancy in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses answer relevancy as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
3,Why is context precision important for retrieval?,A correct answer should explain context precision in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses context precision as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
4,What does context recall show about evidence retrieval?,A correct answer should explain context recall in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses context recall as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
5,Why should input guardrails redact personal information?,A correct answer should explain PII redaction in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses PII redaction as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
6,What is the purpose of a topic scope validator?,A correct answer should explain topic validator in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses topic validator as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
7,Edited: How should an output guardrail handle unsafe generated content?,A correct answer should explain Llama Guard in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses Llama Guard as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
8,Why should guardrail latency be benchmarked?,A correct answer should explain latency in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses latency as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
9,What should an audit log capture in a guarded RAG system?,A correct answer should explain audit log in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses audit log as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
10,Why are SLOs useful for production RAG monitoring?,A correct answer should explain SLO in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses SLO as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
11,How does RAGAS faithfulness evaluate an answer?,A correct answer should explain faithfulness in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses faithfulness as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
12,What does answer relevancy measure in RAGAS?,A correct answer should explain answer relevancy in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses answer relevancy as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
13,Why is context precision important for retrieval?,A correct answer should explain context precision in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses context precision as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
14,What does context recall show about evidence retrieval?,A correct answer should explain context recall in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses context recall as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
15,Why should input guardrails redact personal information?,A correct answer should explain PII redaction in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses PII redaction as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
16,What is the purpose of a topic scope validator?,A correct answer should explain topic validator in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses topic validator as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
17,How does an output guardrail protect users?,A correct answer should explain Llama Guard in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses Llama Guard as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
18,Why should guardrail latency be benchmarked?,A correct answer should explain latency in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses latency as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
19,What should an audit log capture in a guarded RAG system?,A correct answer should explain audit log in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses audit log as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
20,Why are SLOs useful for production RAG monitoring?,A correct answer should explain SLO in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses SLO as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
21,How does RAGAS faithfulness evaluate an answer?,A correct answer should explain faithfulness in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses faithfulness as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
22,What does answer relevancy measure in RAGAS?,A correct answer should explain answer relevancy in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses answer relevancy as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
23,Why is context precision important for retrieval?,A correct answer should explain context precision in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses context precision as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
24,What does context recall show about evidence retrieval?,A correct answer should explain context recall in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses context recall as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
25,Why should input guardrails redact personal information?,A correct answer should explain PII redaction in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses PII redaction as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple
26,Why can pairwise judging be biased by answer order?,A correct answer should explain bias in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses bias as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",reasoning
27,How does Cohen's kappa help calibrate an LLM judge?,A correct answer should explain calibration in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses calibration as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",reasoning
28,How can low RAGAS scores guide retriever improvements?,A correct answer should explain failure clusters in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses failure clusters as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",reasoning
29,How should a team reduce continuous evaluation cost?,A correct answer should explain cost in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses cost as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",reasoning
30,Why should CI block a merge when faithfulness drops?,A correct answer should explain threshold in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses threshold as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",reasoning
31,Why can pairwise judging be biased by answer order?,A correct answer should explain bias in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses bias as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",reasoning
32,How does Cohen's kappa help calibrate an LLM judge?,A correct answer should explain calibration in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses calibration as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",reasoning
33,How can low RAGAS scores guide retriever improvements?,A correct answer should explain failure clusters in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses failure clusters as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",reasoning
34,How should a team reduce continuous evaluation cost?,A correct answer should explain cost in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses cost as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",reasoning
35,Why should CI block a merge when faithfulness drops?,A correct answer should explain threshold in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses threshold as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",reasoning
36,Why can pairwise judging be biased by answer order?,A correct answer should explain bias in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses bias as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",reasoning
37,How does Cohen's kappa help calibrate an LLM judge?,A correct answer should explain calibration in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses calibration as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",reasoning
38,How can low RAGAS scores guide retriever improvements?,A correct answer should explain failure clusters in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses failure clusters as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",reasoning
39,How do absolute scoring and pairwise scoring complement each other?,A correct answer should explain judge in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses judge as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",multi_context
40,What components are needed for a production evaluation blueprint?,A correct answer should explain production in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses production as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",multi_context
41,How do input and output guardrails work together in defense in depth?,A correct answer should explain architecture in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses architecture as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",multi_context
42,How do SLO alerts and audit logs support incident response?,A correct answer should explain monitoring in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses monitoring as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",multi_context
